S.No,State,District ,Code ,Headquarters ,Population (2011) ,Area (km²) ,Density (/km²),
221,Gujarat (GJ),Anand,AN,Anand,"20,90,276","2,942",711,
222,Karnataka (KA),Dakshina Kannada,DK,Mangalore,"20,83,625","4,559",457,
223,Odisha (OD),Sundargarh,SU,Sundargarh,"20,80,664","9,942",214,
224,Jharkhand (JH),Bokaro,BO,Bokaro,"20,61,918","2,861",716,
225,Maharashtra (MH),Dhule,DH,Dhule,"20,48,781","8,095",285,
226,Rajasthan (RJ),Churu,CR,Churu,"20,41,172","16,830",148,
227,Rajasthan (RJ),Pali,PA,Pali,"20,38,533","12,387",165,
228,Uttar Pradesh (UP),Pilibhit,PI,Pilibhit,"20,37,225","3,499",567,
229,Madhya Pradesh (MP),Gwalior,GW,Gwalior,"20,30,543","5,465",445,
230,Bihar (BR),Banka,BA,Banka,"20,29,339","3,018",672,
231,Gujarat (GJ),Mehsana,MA,Mehsana,"20,27,727","4,386",462,
232,Punjab (PB),Firozpur,FI,Firozpur,"20,26,831","5,334",380,
233,Uttar Pradesh (UP),Jhansi,JH,Jhansi,"20,00,755","5,024",398,
234,Punjab (PB),Pathankot,PA,Pathankot,"19,98,464",,398,
235,Bihar (BR),Madhepura,MP,Madhepura,"19,94,618","1,787","1,116",
236,Madhya Pradesh (MP),Ujjain,UJ,Ujjain,"19,86,597","6,091",356,
237,Kerala (KL),Kottayam,KT,Kottayam,"19,79,384","2,203",896,
238,Rajasthan (RJ),Ganganagar,GA,Ganganagar,"19,69,520","10,990",179,
239,Madhya Pradesh (MP),Morena,MO,Morena,"19,65,137","4,991",394,
240,Maharashtra (MH),Jalna,JN,Jalna,"19,58,483","7,718",255,
241,Uttar Pradesh (UP),Chandauli,CD,Chandauli,"19,52,713","2,554",768,
242,Rajasthan (RJ),Kota,KO,Kota,"19,50,491","5,446",374,
243,Assam (AS),Dhubri,DB,Dhubri,"19,48,632","2,838",683,
244,Karnataka (KA),Davanagere,DA,Davangere,"19,46,905","5,926",329,
245,Tamil Nadu (TN),Virudhunagar,VR,Virudhunagar,"19,43,309","3,446",454,
246,Jharkhand (JH),Palamu,PL,Daltonganj,"19,36,319","5,082",381,
247,Uttarakhand (UK),Haridwar,HA,Haridwar,"19,27,029","2,360",817,
248,Assam (AS),Sonitpur,SO,Tezpur,"19,25,975","5,324",365,
249,Karnataka (KA),Raichur,RA,Raichur,"19,24,773","6,839",228,
250,Tamil Nadu (TN),Pudukkottai,PU,Pudukkottai,"19,18,725","4,651",348,
251,Bihar (BR),Saharsa,SH,Saharsa,"18,97,102","1,702","1,125",
252,Karnataka (KA),Bagalkot,BK,Bagalkot,"18,90,826","6,583",288,
253,Uttar Pradesh (UP),Farrukhabad,FR,Fatehgarh,"18,87,577","2,279",865,
254,Tamil Nadu (TN),Krishnagiri,KR,Krishnagiri,"18,83,731","5,086",370,
255,Madhya Pradesh (MP),Khargone (West Nimar),WN,Khargone,"18,72,413","8,010",233,
256,Uttar Pradesh (UP),Sonbhadra,SO,Robertsganj,"18,62,612","6,788",274,
257,Uttar Pradesh (UP),Mainpuri,MP,Mainpuri,"18,47,194","2,760",670,
258,Karnataka (KA),Dharwad,DH,Dharwad,"18,46,993","4,265",434,
259,West Bengal (WB),Darjeeling,DA,Darjeeling,"18,42,034","3,149",585,
260,Uttar Pradesh (UP),Jyotiba Phule Nagar,JP,Amroha,"18,38,771","2,321",818,
261,Maharashtra (MH),Parbhani,PA,Parbhani,"18,35,982","6,511",295,
262,Rajasthan (RJ),Jalore,JL,Jalore,"18,30,151","10,640",172,
263,Odisha (OD),Jajpur,JP,Panikoili,"18,26,275","2,885",630,
264,Maharashtra (MH),Akola,AK,Akola,"18,18,617","5,429",321,
265,Karnataka (KA),Mandya,MA,Mandya,"18,08,680","4,961",365,
266,Odisha (OD),Kendujhar (Keonjhar),KJ,Kendujhar,"18,02,777","8,336",217,
267,Uttar Pradesh (UP),Banda,BN,Banda,"17,99,541","4,413",404,
268,Haryana (HR),Faridabad,FR,Faridabad,"17,98,954",783,"2,298",
269,Rajasthan (RJ),Banswara,BN,Banswara,"17,98,194","5,037",399,
270,Uttar Pradesh (UP),Kanpur Dehat (Ramabai Nagar),KD,Akbarpur (Mati),"17,95,092","3,021",594,
271,Rajasthan (RJ),Hanumangarh,HA,Hanumangarh,"17,79,650","9,670",184,
272,Karnataka (KA),Hassan,HS,Hassan,"17,76,221","6,814",261,
273,Madhya Pradesh (MP),Chhatarpur,CT,Chhatarpur,"17,62,857","8,687",203,
274,Uttar Pradesh (UP),Etah,ET,Etah,"17,61,152","2,456",717,
275,Bihar (BR),Jamui,JA,Jamui,"17,56,078","3,099",567,
276,Gujarat (GJ),Surendranagar,SN,Surendranagar,"17,55,873","10,489",167,
277,Karnataka (KA),Shimoga,SH,Shimoga,"17,55,512","8,495",207,
278,Haryana (HR),Hissar,HI,Hissar,"17,42,815","3,788",438,
279,Tamil Nadu (TN),Thoothukudi,TK,Thoothukudi (Tuticorin),"17,38,376","4,594",378,
280,Assam (AS),Cachar,CA,Silchar,"17,36,319","3,786",459,
281,Jharkhand (JH),Hazaribag,HA,Hazaribag,"17,34,005","4,302",403,
282,Madhya Pradesh (MP),Shivpuri,SV,Shivpuri,"17,25,818","10,290",168,
283,Tamil Nadu (TN),Namakkal,NM,Namakkal,"17,21,179","3,429",506,
284,Uttar Pradesh (UP),Sant Kabir Nagar,SK,Khalilabad,"17,14,300","1,442","1,014",
285,Delhi (DL),East Delhi,ED,Preet Vihar,"17,07,725",440,"26,683",
286,Bihar (BR),Buxar,BU,Buxar,"17,07,643","1,624","1,003",
287,Madhya Pradesh (MP),Bhind,BD,Bhind,"17,03,562","4,459",382,
288,Gujarat (GJ),Valsad,VL,Valsad,"17,03,068","3,034",561,
289,Madhya Pradesh (MP),Balaghat,BL,Balaghat,"17,01,156","9,229",184,
290,Karnataka (KA),Bidar,BD,Bidar,"17,00,018","5,448",312,
291,West Bengal (WB),Alipurduar,AD,Alipurduar,"17,00,000","3,383",400,
292,Uttarakhand (UK),Dehradun,DD,Dehradun,"16,98,560","3,088",550,
293,Odisha (OD),Puri,PU,Puri,"16,97,983","3,055",488,
294,Assam (AS),Barpeta,BA,Barpeta,"16,93,190","3,245",632,
295,Bihar (BR),Kishanganj,KI,Kishanganj,"16,90,948","1,884",898,
296,Uttar Pradesh (UP),Gautam Buddh Nagar,GB,Noida,"16,74,714","1,269","1,252",
297,West Bengal (WB),Dakshin Dinajpur,DD,Balurghat,"16,70,931","2,183",753,
298,Uttar Pradesh (UP),Jalaun,JL,Orai,"16,70,718","4,565",366,
299,Karnataka (KA),Chitradurga,CT,Chitradurga,"16,60,378","8,437",197,
300,Maharashtra (MH),Osmanabad,OS,Osmanabad,"16,60,311","7,569",219,
301,Uttar Pradesh (UP),Kannauj,KJ,Kannauj,"16,58,005","1,993",792,
302,Bihar (BR),Khagaria,KH,Khagaria,"16,57,599","1,486","1,115",
303,Punjab (PB),Sangrur,SA,Sangrur,"16,54,408","3,685",449,
304,Odisha (OD),Balangir,BL,Balangir,"16,48,574","6,552",251,
305,Uttarakhand (UK),Udham Singh Nagar,US,Rudrapur,"16,48,367","2,912",648,
306,Maharashtra (MH),Nandurbar,NB,Nandurbar,"16,46,177","5,055",276,
307,Rajasthan (RJ),Dausa,DA,Dausa,"16,37,226","3,429",476,
308,Haryana (HR),Bhiwani,BH,Bhiwani,"16,29,109","5,140",341,
309,Bihar (BR),Kaimur,KM,Bhabua,"16,26,900","3,363",488,
310,Chhattisgarh (CG),Janjgir-Champa,JC,Naila Janjgir,"16,20,632","3,848",421,
311,Tamil Nadu (TN),Nagapattinam,NG,Nagapattinam,"16,14,069","2,716",668,
312,Maharashtra (MH),Ratnagiri,RT,Ratnagiri,"16,12,672","8,208",196,
313,Karnataka (KA),Haveri district,HV,Haveri,"15,98,506","4,825",331,
314,Uttar Pradesh (UP),Kaushambi,KS,Manjhanpur,"15,96,909","1,837",897,
315,Punjab (PB),Hoshiarpur,HO,Hoshiarpur,"15,82,793","3,397",466,
316,Uttar Pradesh (UP),Etawah,EW,Etawah,"15,79,160","2,287",683,
317,Madhya Pradesh (MP),Betul,BE,Betul,"15,75,247","10,043",157,
318,Odisha (OD),Kalahandi,KL,Bhawanipatna,"15,73,054","8,197",199,
319,Uttar Pradesh (UP),Hathras (Mahamaya Nagar),HT,Hathras,"15,65,678","1,752",851,
320,Madhya Pradesh (MP),Dewas,DE,Dewas,"15,63,107","7,020",223,
321,Uttar Pradesh (UP),Sant Ravidas Nagar,SR,Gyanpur,"15,54,203",960,"1,531",
322,Gujarat (GJ),Bharuch,BR,Bharuch,"15,50,822","6,524",238,
323,Madhya Pradesh (MP),Rajgarh,RG,Rajgarh,"15,46,541","6,143",251,
324,Rajasthan (RJ),Chittorgarh,CT,Chittorgarh,"15,44,392","10,856",193,
325,Karnataka (KA),Kolar,KL,Kolar,"15,40,231","4,012",384,
326,Chhattisgarh (CG),Rajnandgaon,RN,Rajnandgaon,"15,37,520","8,062",191,
327,Jammu and Kashmir (JK),Jammu,JA,Jammu,"15,26,406","3,097",596,
328,Assam (AS),Kamrup,KR,Goroimari,"15,17,202","3,480",436,
329,Haryana (HR),Gurgaon,GU,Gurgaon,"15,14,085","2,760","1,241",
330,Gujarat (GJ),Amreli district,AM,Amreli,"15,13,614","6,760",205,
331,Madhya Pradesh (MP),Shajapur,SJ,Shajapur,"15,12,353","6,196",244,
332,Himachal Pradesh (HP),Kangra,KA,Dharamshala,"15,07,223","5,739",263,
333,Odisha (OD),Bhadrak,BH,Bhadrak,"15,06,522","2,788",601,
334,Haryana (HR),Karnal,KR,Karnal,"15,06,323","2,471",598,
335,Tamil Nadu (TN),Dharmapuri,DH,Dharmapuri,"15,02,900","4,532",332,
336,Jharkhand (JH),West Singhbhum,WS,Chaibasa,"15,01,619","7,186",209,
337,Chhattisgarh (CG),Raigarh,RG,Raigarh,"14,93,627","7,068",211,
338,Jharkhand (JH),Deoghar,DE,Deoghar,"14,91,879","2,479",602,
339,Haryana (HR),Sonipat,SNP,Sonipat,"14,80,080","2,260",697,
340,Odisha (OD),Bargarh (Baragarh),BR,Bargarh,"14,78,833","5,832",253,
341,Rajasthan (RJ),Karauli,KA,Karauli,"14,58,459","5,530",264,
342,Madhya Pradesh (MP),Vidisha,VI,Vidisha,"14,58,212","7,362",198,
343,Madhya Pradesh (MP),Ratlam,RL,Ratlam,"14,54,483","4,861",299,
344,Uttar Pradesh (UP),Hapur (Panchsheel Nagar),PN,Hapur,"14,51,983",,,
345,Madhya Pradesh (MP),Tikamgarh,TI,Tikamgarh,"14,44,920","5,055",286,
346,Odisha (OD),Kendrapara,KP,Kendrapara,"14,39,891","2,546",545,
347,Uttar Pradesh (UP),Kanshi Ram Nagar,KR,Kasganj,"14,38,156","1,955",736,
348,Rajasthan (RJ),Tonk,TO,Tonk,"14,21,711","7,194",198,
349,Chhattisgarh (CG),Bastar,BA,Jagdalpur,"14,11,644","4,030",140,
350,Rajasthan (RJ),Jhalawar,JW,Jhalawar,"14,11,327","6,219",227,
351,Karnataka (KA),Koppal,KP,Koppal,"13,91,292","5,565",250,
352,Rajasthan (RJ),Dungapur,DU,Dungarpur,"13,88,906","3,771",368,
353,Punjab (PB),Bathinda,BA,Bathinda,"13,88,859","3,355",414,
354,Gujarat (GJ),Gandhinagar,GA,Gandhinagar,"13,87,478",649,660,
355,Madhya Pradesh (MP),Barwani,BR,Barwani,"13,85,659","5,432",256,
356,Madhya Pradesh (MP),Seoni,SO,Seoni,"13,78,876","8,758",157,
357,Odisha (OD),Koraput,KO,Koraput,"13,76,934","8,534",156,
358,Uttar Pradesh (UP),Auraiya,AU,Auraiya,"13,72,287","2,051",681,
359,Bihar (BR),Munger,MG,Munger,"13,59,054","1,419",958,
360,Karnataka (KA),Uttara Kannada,UK,Karwar,"13,53,299","10,291",132,
361,Gujarat (GJ),Patan,PA,Patan,"13,42,746","5,738",234,
362,Tamil Nadu (TN),Sivaganga,SI,Sivaganga,"13,41,250","4,086",324,
363,Madhya Pradesh (MP),Mandsaur,MS,Mandsaur,"13,39,832","5,530",242,
364,Rajasthan (RJ),Sawai Madhopur,SM,Sawai Madhopur,"13,38,114","4,500",257,
365,Tamil Nadu (TN),Ramanathapuram,RA,Ramanathapuram,"13,37,560","4,123",320,
366,Haryana (HR),Jind,JI,Jind,"13,32,042","2,702",493,
367,Madhya Pradesh (MP),Raisen,RS,Raisen,"13,31,699","8,466",157,
368,Gujarat (GJ),Navsari,NV,Navsari,"13,30,711","2,211",602,
369,Assam (AS),Dibrugarh,DI,Dibrugarh,"13,27,748","3,381",393,
370,Jharkhand (JH),Garhwa,GA,Garhwa,"13,22,387","4,064",327,
371,Maharashtra (MH),Gondia,GO,Gondia,"13,22,331","5,431",253,
372,Jharkhand (JH),Dumka,DU,Dumka,"13,21,096","4,404",300,
373,Assam (AS),Tinsukia,TI,Tinsukia,"13,16,948","3,790",347,
374,Jharkhand (JH),Godda,GO,Godda,"13,11,382","2,110",622,
375,Madhya Pradesh (MP),Sehore,SR,Sehore,"13,11,008","6,578",199,
376,Madhya Pradesh (MP),Khandwa (East Nimar),EN,Khandwa,"13,09,443","7,349",178,
377,Kerala (KL),Kasaragod,KS,Kasaragod,"13,02,600","1,992",654,
378,Uttar Pradesh (UP),Bagpat,BG,Baghpat,"13,02,156","1,345",986,
379,Maharashtra (MH),Wardha,WR,Wardha,"12,96,157","6,309",205,
380,Haryana (HR),Sirsa,SI,Sirsa,"12,95,114","4,276",303,
381,Madhya Pradesh (MP),Katni,KA,Katni,"12,91,684","4,947",261,
382,Odisha (OD),Angul,AN,Angul,"12,71,703","6,347",199,
383,Jammu and Kashmir (JK),Srinagar,SR,Srinagar,"12,69,751","2,228",703,
384,Tamil Nadu (TN),Tiruvarur,TR,Tiruvarur,"12,68,094","2,377",533,
385,Madhya Pradesh (MP),Damoh,DM,Damoh,"12,63,703","7,306",173,
386,Assam (AS),Kamrup Metropolitan,KM,Guwahati,"12,60,419",627,"2,010",
387,Karnataka (KA),Chikkaballapur,CK,Chikkaballapur,"12,54,377","4,208",298,
388,Tamil Nadu (TN),Theni,TH,Theni,"12,43,684","3,066",433,
389,Madhya Pradesh (MP),Hoshangabad,HO,Hoshangabad,"12,40,975","6,698",185,
390,Madhya Pradesh (MP),Guna,GU,Guna,"12,40,938","6,485",194,
391,Rajasthan (RJ),Baran,BR,Baran,"12,23,921","6,955",175,
392,Odisha (OD),Nabarangpur,NB,Nabarangpur,"12,18,762","5,135",230,
393,Uttar Pradesh (UP),Lalitpur,LA,Lalitpur,"12,18,002","5,039",242,
394,Gujarat (GJ),Gir Somnath,,Veraval,"12,17,477","3,754",324,
395,Assam (AS),Karimganj,KR,Karimganj,"12,17,002","1,809",673,
396,Haryana (HR),Yamuna Nagar,YN,Yamuna Nagar,"12,14,162","1,756",687,
397,Rajasthan (RJ),Dholpur,DH,Dholpur,"12,07,293","3,084",398,
398,Chhattisgarh (CG),Korba,KB,Korba,"12,06,563","6,615",183,
399,Haryana (HR),Panipat,PP,Panipat,"12,02,811","1,250",949,
400,Maharashtra (MH),Bhandara,BH,Bhandara,"11,98,810","3,890",293,
401,Maharashtra (MH),Washim,WS,Washim,"11,96,714","5,155",244,
402,Kerala (KL),Pathanamthitta,PT,Pathanamthitta,"11,95,537","2,462",453,
403,Odisha (OD),Dhenkanal,DH,Dhenkanal,"11,92,948","4,597",268,
404,Maharashtra (MH),Hingoli,HI,Hingoli,"11,78,973","4,526",244,
405,Madhya Pradesh (MP),Singrauli,SN,Waidhan,"11,78,132","5,672",208,
406,Karnataka (KA),Udupi,UD,Udupi,"11,77,908","3,879",304,
407,Karnataka (KA),Yadgir,YG,Yadgir,"11,72,985","5,225",224,
408,Rajasthan (RJ),Rajsamand,RA,Rajsamand,"11,58,283","3,853",302,
409,Assam (AS),Sivasagar,SI,Sibsagar,"11,50,253","2,668",431,
410,Jharkhand (JH),Sahibganj,SA,Sahebganj,"11,50,038","1,599",719,
411,Karnataka (KA),Chikkamagaluru,CK,Chikmagalur,"11,37,753","7,201",158,
412,Haryana (HR),Ambala,AM,Ambala,"11,36,784","1,569",722,
413,Odisha (OD),Jagatsinghpur,JS,Jagatsinghpur,"11,36,604","1,759",681,
414,Madhya Pradesh (MP),Sidhi,SI,Sidhi,"11,26,515","10,520",232,
415,Bihar (BR),Jehanabad,JE,Jehanabad,"11,24,176","1,569","1,206",
416,Punjab (PB),Tarn Taran,TT,Tarn Taran Sahib,"11,20,070","2,414",464,
417,Uttar Pradesh (UP),Shravasti,SV,Shravasti,"11,14,615","1,948",572,
418,Rajasthan (RJ),Bundi,BU,Bundi,"11,13,725","5,550",193,
419,Kerala (KL),Idukki,ID,Painavu,"11,07,453","4,479",254,
420,Uttar Pradesh (UP),Hamirpur,HM,Hamirpur,"11,04,021","4,325",268,
421,Madhya Pradesh (MP),Narsinghpur,NA,Narsinghpur,"10,92,141","5,133",213,
422,Assam (AS),Jorhat,JO,Jorhat,"10,91,295","2,851",383,
423,Haryana (HR),Mewat,MW,Nuh,"10,89,406","1,765",729,
424,Karnataka (KA),Ramanagara,RM,Ramanagara,"10,82,739","3,573",303,
425,Tamil Nadu (TN),Karur,KA,Karur,"10,76,588","2,901",371,
426,Haryana (HR),Kaithal,KT,Kaithal,"10,72,861","2,799",467,
427,Gujarat (GJ),Chhota Udaipur,,Chhota Udaipur,"10,71,831","3,237",331,
428,Maharashtra (MH),Gadchiroli,GA,Gadchiroli,"10,71,795","14,412",74,
429,Jammu and Kashmir (JK),Anantnag,AN,Anantnag,"10,70,144",2853,375,
430,Karnataka (KA),Gadag,GA,Gadag-Betageri,"10,65,235","4,651",229,
431,Madhya Pradesh (MP),Shahdol,SH,Shahdol,"10,64,989","6,205",172,
432,Jharkhand (JH),Seraikela Kharsawan,SK,Seraikela,"10,63,458","2,725",390,
433,Haryana (HR),Rohtak,RO,Rohtak,"10,58,683","1,668",607,
434,Assam (AS),Golaghat,GG,Golaghat,"10,58,674","3,502",302,
435,Chandigarh (CH),Chandigarh,CH,Chandigarh,"10,54,686",114,"9,252",
436,Madhya Pradesh (MP),Mandla,ML,Mandla,"10,53,522","5,805",182,
437,Gujarat (GJ),Aravalli,AR,Modasa,"10,51,746","3,217",327,
438,Odisha (OD),Sambalpur,SA,Sambalpur,"10,44,410","6,702",158,
439,Jharkhand (JH),Chatra,CH,Chatra,"10,42,304","3,700",275,
440,Assam (AS),Lakhimpur,LA,North Lakhimpur,"10,40,644","2,277",457,
441,Haryana (HR),Palwal,PW,Palwal,"10,40,493","1,367",761,
442,Rajasthan (RJ),Sirohi,SR,Sirohi,"10,37,185","5,136",202,
443,Chhattisgarh (CG),Mahasamund,MA,Mahasamund,"10,32,275","4,779",216,
444,Jharkhand (JH),Gumla,GU,Gumla,"10,25,656",5327,193,
445,Madhya Pradesh (MP),Jhabua,JH,Jhabua,"10,24,091","6,782",285,
